ANNEE,MGA,MGAM5,MGAM5/12,MSGA,taux base,Exemption,Taux supp. V1,Taux supp. V2,non arrondi,Introduction V1
1966,5000.0,0.0,0.0,0.0,1.8,600.0,0.0,0.0,5000.0,0.0
1967,5000.0,0.0,0.0,0.0,1.8,600.0,0.0,0.0,5000.0,0.0
1968,5100.0,0.0,0.0,0.0,1.8,600.0,0.0,0.0,5100.0,0.0
1969,5200.0,0.0,0.0,0.0,1.8,600.0,0.0,0.0,5200.0,0.0
1970,5300.0,0.0,0.0,0.0,1.8,600.0,0.0,0.0,5300.0,0.0
1971,5400.0,0.0,0.0,0.0,1.8,600.0,0.0,0.0,5400.0,0.0
1972,5500.0,0.0,0.0,0.0,1.8,600.0,0.0,0.0,5500.0,0.0
1973,5900.0,0.0,0.0,0.0,1.8,700.0,0.0,0.0,5900.0,0.0
1974,6600.0,0.0,0.0,0.0,1.8,700.0,0.0,0.0,6600.0,0.0
1975,7400.0,0.0,0.0,0.0,1.8,700.0,0.0,0.0,7400.0,0.0
1976,8300.0,0.0,0.0,0.0,1.8,800.0,0.0,0.0,8300.0,0.0
1977,9300.0,0.0,0.0,0.0,1.8,900.0,0.0,0.0,9300.0,0.0
1978,10400.0,0.0,0.0,0.0,1.8,1000.0,0.0,0.0,10400.0,0.0
1979,11700.0,0.0,0.0,0.0,1.8,1100.0,0.0,0.0,11700.0,0.0
1980,13100.0,0.0,0.0,0.0,1.8,1300.0,0.0,0.0,13100.0,0.0
1981,14700.0,0.0,0.0,0.0,1.8,1400.0,0.0,0.0,14700.0,0.0
1982,16500.0,0.0,0.0,0.0,1.8,1600.0,0.0,0.0,16500.0,0.0
1983,18500.0,0.0,0.0,0.0,1.8,1800.0,0.0,0.0,18500.0,0.0
1984,20800.0,0.0,0.0,0.0,1.8,2000.0,0.0,0.0,20800.0,0.0
1985,23400.0,0.0,0.0,0.0,1.8,2300.0,0.0,0.0,23400.0,0.0
1986,25800.0,0.0,0.0,0.0,1.8,2500.0,0.0,0.0,25800.0,0.0
1987,25900.0,0.0,0.0,0.0,1.9,2500.0,0.0,0.0,25900.0,0.0
1988,26500.0,0.0,0.0,0.0,2.0,2600.0,0.0,0.0,26500.0,0.0
1989,27700.0,0.0,0.0,0.0,2.1,2700.0,0.0,0.0,27700.0,0.0
1990,28900.0,0.0,0.0,0.0,2.2,2800.0,0.0,0.0,28900.0,0.0
1991,30500.0,0.0,0.0,0.0,2.3,3000.0,0.0,0.0,30500.0,0.0
1992,32200.0,0.0,0.0,0.0,2.4,3200.0,0.0,0.0,32200.0,0.0
1993,33400.0,0.0,0.0,0.0,2.5,3300.0,0.0,0.0,33400.0,0.0
1994,34400.0,0.0,0.0,0.0,2.6,3400.0,0.0,0.0,34400.0,0.0
1995,34900.0,0.0,0.0,0.0,2.7,3400.0,0.0,0.0,34900.0,0.0
1996,35400.0,0.0,0.0,0.0,2.8,3500.0,0.0,0.0,35400.0,0.0
1997,35800.0,0.0,0.0,0.0,3.0,3500.0,0.0,0.0,35800.0,0.0
1998,36900.0,0.0,0.0,0.0,3.2,3500.0,0.0,0.0,36900.0,0.0
1999,37400.0,0.0,0.0,0.0,3.5,3500.0,0.0,0.0,37400.0,0.0
2000,37600.0,0.0,0.0,0.0,3.9,3500.0,0.0,0.0,37600.0,0.0
2001,38300.0,0.0,0.0,0.0,4.3,3500.0,0.0,0.0,38300.0,0.0
2002,39100.0,0.0,0.0,0.0,4.7,3500.0,0.0,0.0,39100.0,0.0
2003,39900.0,0.0,0.0,0.0,4.95,3500.0,0.0,0.0,39900.0,0.0
2004,40500.0,0.0,0.0,0.0,4.95,3500.0,0.0,0.0,40500.0,0.0
2005,41100.0,0.0,0.0,0.0,4.95,3500.0,0.0,0.0,41100.0,0.0
2006,42100.0,0.0,0.0,0.0,4.95,3500.0,0.0,0.0,42100.0,0.0
2007,43700.0,0.0,0.0,0.0,4.95,3500.0,0.0,0.0,43700.0,0.0
2008,44900.0,0.0,0.0,0.0,4.95,3500.0,0.0,0.0,44900.0,0.0
2009,46300.0,0.0,0.0,0.0,4.95,3500.0,0.0,0.0,46300.0,0.0
2010,47200.0,0.0,0.0,0.0,4.95,3500.0,0.0,0.0,47200.0,0.0
