Index,Annee,Age,Salaire,MGA,Mois,Rajustes_1,Rajustes_2,Out,Retranches,Moy_5,Volet_1,Volet_2,Testing_Rang,Rang,Col_P,Col_Q,Col_R,Col_S,V1,Col_U,Sal,RG,Salaire_Base,Col_Y,Col_Z,Col_AA
1,1998,17,3690.00,36900.00,2.00,14946.0000,7473.0000,0.00,0.0000,NaN,NaN,0.0000,7473.039980,12,7473.039980,0.00,0.00,0.00,0.00,0.00,0.000000,1,3690.00,0.00,0.000000,55
2,1999,18,22440.00,37400.00,12.00,89676.0000,7473.0000,0.00,0.0000,NaN,NaN,0.0000,7473.139990,13,7473.139990,0.00,0.00,0.00,0.00,0.00,0.000000,19,22440.00,0.00,0.000000,34
3,2000,19,22560.00,37600.00,12.00,89676.0000,7473.0000,0.00,0.0000,NaN,NaN,0.0000,7473.140000,14,7473.140000,0.00,0.00,0.00,0.00,0.00,0.000000,18,22560.00,0.00,0.000000,36
4,2001,20,22980.00,38300.00,12.00,89676.0000,7473.0000,0.00,0.0000,NaN,NaN,0.0000,7473.140010,15,7473.140010,0.00,0.00,0.00,0.00,0.00,0.000000,17,22980.00,0.00,0.000000,32
5,2002,21,23460.00,39100.00,12.00,89676.0000,7473.0000,0.00,0.0000,37860.00,NaN,0.0000,7473.140020,16,7473.140020,0.00,0.00,0.00,0.00,0.00,0.000000,16,23460.00,0.00,0.000000,31
6,2003,22,23940.00,39900.00,12.00,89676.0000,7473.0000,0.00,0.0000,38460.00,NaN,0.0000,7473.140030,17,7473.140030,0.00,0.00,0.00,0.00,0.00,0.000000,15,23940.00,0.00,0.000000,30
7,2004,23,24300.00,40500.00,12.00,89676.0000,7473.0000,0.00,0.0000,39080.00,NaN,0.0000,7473.140040,18,7473.140040,0.00,0.00,0.00,0.00,0.00,0.000000,14,24300.00,0.00,0.000000,35
8,2005,24,24660.00,41100.00,12.00,89676.0000,7473.0000,0.00,0.0000,39780.00,NaN,0.0000,7473.140050,19,7473.140050,0.00,0.00,0.00,0.00,0.00,0.000000,13,24660.00,0.00,0.000000,37
9,2006,25,25260.00,42100.00,12.00,89676.0000,7473.0000,0.00,0.0000,40540.00,NaN,0.0000,7473.140060,20,7473.140060,0.00,0.00,0.00,0.00,0.00,0.000000,12,25260.00,0.00,0.000000,38
10,2007,26,26220.00,43700.00,12.00,89676.0000,7473.0000,0.00,0.0000,41460.00,NaN,0.0000,7473.140070,21,7473.140070,0.00,0.00,0.00,0.00,0.00,0.000000,20,26220.00,0.00,0.000000,39
11,2008,27,26940.00,44900.00,12.00,89676.0000,7473.0000,0.00,0.0000,42460.00,NaN,0.0000,7473.140080,22,7473.140080,0.00,0.00,0.00,0.00,0.00,0.000000,11,26940.00,0.00,0.000000,53
12,2009,28,27780.00,46300.00,12.00,89676.0000,7473.0000,0.00,0.0000,43620.00,NaN,0.0000,7473.140090,23,7473.140090,0.00,0.00,0.00,0.00,0.00,0.000000,9,27780.00,0.00,0.000000,52
13,2010,29,28320.00,47200.00,12.00,89676.0000,7473.0000,0.00,0.0000,44840.00,NaN,0.0000,7473.140100,24,7473.140100,0.00,0.00,0.00,0.00,0.00,0.000000,8,28320.00,0.00,0.000000,51
14,2011,30,28980.00,48300.00,12.00,89676.0000,7473.0000,0.00,0.0000,46080.00,NaN,0.0000,7473.140110,25,7473.140110,0.00,0.00,0.00,0.00,0.00,0.000000,7,28980.00,0.00,0.000000,50
15,2012,31,75150.00,50100.00,12.00,149460.0000,12455.0000,0.00,0.0000,47360.00,NaN,0.0000,12455.140120,26,12455.140120,0.00,0.00,0.00,0.00,0.00,0.000000,6,50100.00,0.00,0.000000,49
16,2013,32,76650.00,51100.00,12.00,149460.0000,12455.0000,0.00,0.0000,48600.00,NaN,0.0000,12455.140130,27,12455.140130,0.00,0.00,0.00,0.00,0.00,0.000000,5,51100.00,0.00,0.000000,48
17,2014,33,78750.00,52500.00,12.00,149460.0000,12455.0000,0.00,0.0000,49840.00,NaN,0.0000,12455.140140,28,12455.140140,0.00,0.00,0.00,0.00,0.00,0.000000,4,52500.00,0.00,0.000000,54
18,2015,34,80400.00,53600.00,12.00,149460.0000,12455.0000,0.00,0.0000,51120.00,NaN,0.0000,12455.140150,29,12455.140150,0.00,0.00,0.00,0.00,0.00,0.000000,3,53600.00,0.00,0.000000,47
