Retirement Age/Career Duration,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
60,4.29,25.66,25.59,25.52,25.44,25.37,25.30,25.22,25.14,25.08,25.00,24.92,24.85,24.78,41.12,40.93,40.71,40.51,40.31,40.10,39.89,41.52,43.14,45.35,48.16,50.94,53.98,57.10,56.80,56.49,56.24,55.93,55.60,55.33,55.00,54.71,43.65,32.75,32.67,32.59,32.52,32.46,26.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
61,4.68,28.06,28.00,27.95,27.88,27.83,27.77,27.71,27.65,27.59,27.54,27.48,27.42,27.36,45.47,45.30,45.15,44.99,44.82,44.66,44.50,46.41,48.32,50.90,54.15,57.40,60.95,64.57,64.35,64.10,63.92,63.66,63.39,63.20,62.92,62.70,62.48,45.78,37.44,37.39,37.31,37.29,37.20,30.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
62,5.09,30.50,30.46,30.41,30.38,30.33,30.28,30.24,30.20,30.16,30.12,30.07,30.02,29.99,49.88,49.76,49.64,49.52,49.40,49.28,49.16,51.37,53.57,56.54,60.27,63.98,68.07,72.23,72.06,71.87,71.77,71.57,71.35,71.23,71.00,70.85,70.69,70.52,47.06,42.34,42.28,42.27,42.21,42.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
63,5.49,32.92,32.89,32.87,32.83,32.81,32.78,32.75,32.73,32.69,32.67,32.64,32.61,32.58,54.24,54.17,54.08,54.01,53.93,53.85,53.77,56.29,58.80,62.16,66.39,70.60,75.24,79.96,79.85,79.72,79.69,79.54,79.39,79.33,79.15,79.07,78.97,78.86,78.74,50.03,47.38,47.39,47.33,47.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
64,5.91,35.46,35.45,35.43,35.42,35.40,35.39,35.38,35.36,35.35,35.34,35.32,35.31,35.29,58.79,58.75,58.72,58.67,58.64,58.60,58.56,61.39,64.23,68.00,72.75,77.47,82.68,87.99,87.94,87.87,87.90,87.81,87.72,87.71,87.60,87.58,87.53,87.49,87.42,84.47,52.71,52.73,52.68,52.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
65,6.34,38.06,38.05,38.06,38.05,38.05,38.06,38.05,38.06,38.05,38.06,38.05,38.05,38.06,63.42,63.43,63.42,63.42,63.43,63.42,63.43,66.58,69.75,73.97,79.24,84.51,90.31,96.22,96.24,96.24,96.31,96.30,96.25,96.31,96.25,96.29,96.30,96.32,96.31,96.29,86.77,58.27,58.23,58.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
66,7.08,42.50,42.49,42.50,42.49,42.50,42.49,42.50,42.49,42.49,42.50,42.49,42.50,42.49,70.83,70.82,70.83,70.82,70.82,70.83,70.82,74.36,77.89,82.60,88.48,94.38,100.83,107.46,107.47,107.46,107.55,107.54,107.47,107.55,107.48,107.52,107.55,107.55,107.55,107.52,96.89,65.07,65.02,65.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
67,7.86,47.16,47.16,47.16,47.17,47.16,47.16,47.16,47.16,47.16,47.16,47.17,47.16,47.16,78.60,78.60,78.61,78.60,78.60,78.60,78.60,82.53,86.44,91.67,98.20,104.74,111.91,119.26,119.27,119.27,119.37,119.34,119.28,119.36,119.28,119.33,119.36,119.36,119.36,119.34,107.53,72.21,72.17,72.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
68,8.68,52.07,52.07,52.08,52.07,52.07,52.08,52.07,52.07,52.07,52.08,52.07,52.07,52.07,86.79,86.79,86.79,86.79,86.78,86.79,86.79,91.12,95.44,101.22,108.43,115.65,123.57,131.68,131.69,131.68,131.80,131.78,131.70,131.79,131.71,131.76,131.79,131.79,131.79,131.77,118.73,79.73,79.69,79.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
69,9.54,57.23,57.24,57.23,57.23,57.24,57.23,57.23,57.24,57.23,57.23,57.24,57.23,57.23,95.39,95.39,95.39,95.39,95.39,95.38,95.39,100.15,104.90,111.25,119.18,127.10,135.82,144.72,144.75,144.73,144.86,144.83,144.75,144.85,144.77,144.81,144.84,144.86,144.85,144.83,130.49,87.63,87.58,87.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
