Retirement Age/Career Duration,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
60,4.29,29.95,55.54,81.06,106.50,131.87,157.17,182.39,207.53,232.61,257.61,282.53,307.38,332.16,373.28,414.21,454.92,495.43,535.74,575.84,615.73,657.25,700.39,745.74,793.90,844.84,898.82,955.92,1012.72,1069.21,1125.45,1181.38,1236.98,1292.31,1347.31,1402.02,1445.67,1478.42,1511.09,1543.68,1576.20,1608.66,1635.65,1635.65,1635.65,1635.65,1635.65,1635.65,1635.65,1635.65,1635.65,1635.65,1635.65,1635.65,1635.65
61,4.68,32.74,60.74,88.69,116.57,144.40,172.17,199.88,227.53,255.12,282.66,310.14,337.56,364.92,410.39,455.69,500.84,545.83,590.65,635.31,679.81,726.22,774.54,825.44,879.59,936.99,997.94,1062.51,1126.86,1190.96,1254.88,1318.54,1381.93,1445.13,1508.05,1570.75,1633.23,1679.01,1716.45,1753.84,1791.15,1828.44,1865.64,1896.62,1896.62,1896.62,1896.62,1896.62,1896.62,1896.62,1896.62,1896.62,1896.62,1896.62,1896.62
62,5.09,35.59,66.05,96.46,126.84,157.17,187.45,217.69,247.89,278.05,308.17,338.24,368.26,398.25,448.13,497.89,547.53,597.05,646.45,695.73,744.89,796.26,849.83,906.37,966.64,1030.62,1098.69,1170.92,1242.98,1314.85,1386.62,1458.19,1529.54,1600.77,1671.77,1742.62,1813.31,1883.83,1930.89,1973.23,2015.51,2057.78,2099.99,2142.17,2142.17,2142.17,2142.17,2142.17,2142.17,2142.17,2142.17,2142.17,2142.17,2142.17,2142.17
63,5.49,38.41,71.30,104.17,137.00,169.81,202.59,235.34,268.07,300.76,333.43,366.07,398.68,431.26,485.50,539.67,593.75,647.76,701.69,755.54,809.31,865.60,924.40,986.56,1052.95,1123.55,1198.79,1278.75,1358.60,1438.32,1518.01,1597.55,1676.94,1756.27,1835.42,1914.49,1993.46,2072.32,2151.06,2201.09,2248.47,2295.86,2343.19,2390.52,2390.52,2390.52,2390.52,2390.52,2390.52,2390.52,2390.52,2390.52,2390.52,2390.52,2390.52
64,5.91,41.37,76.82,112.25,147.67,183.07,218.46,253.84,289.20,324.55,359.89,395.21,430.52,465.81,524.60,583.35,642.07,700.74,759.38,817.98,876.54,937.93,1002.16,1070.16,1142.91,1220.38,1303.06,1391.05,1478.99,1566.86,1654.76,1742.57,1830.29,1918.00,2005.60,2093.18,2180.71,2268.20,2355.62,2440.09,2492.80,2545.53,2598.21,2650.91,2650.91,2650.91,2650.91,2650.91,2650.91,2650.91,2650.91,2650.91,2650.91,2650.91,2650.91
65,6.34,44.40,82.45,120.51,158.56,196.61,234.67,272.72,310.78,348.83,386.89,424.94,462.99,501.05,564.47,627.90,691.32,754.74,818.17,881.59,945.02,1011.60,1081.35,1155.32,1234.56,1319.07,1409.38,1505.60,1601.84,1698.08,1794.39,1890.69,1986.94,2083.25,2179.50,2275.79,2372.09,2468.41,2564.72,2661.01,2747.78,2806.05,2864.28,2922.54,2922.54,2922.54,2922.54,2922.54,2922.54,2922.54,2922.54,2922.54,2922.54,2922.54,2922.54
66,7.08,49.58,92.07,134.57,177.06,219.56,262.05,304.55,347.04,389.53,432.03,474.52,517.02,559.51,630.34,701.16,771.99,842.81,913.63,984.46,1055.28,1129.64,1207.53,1290.13,1378.61,1472.99,1573.82,1681.28,1788.75,1896.21,2003.76,2111.30,2218.77,2326.32,2433.80,2541.32,2648.87,2756.42,2863.97,2971.49,3068.38,3133.45,3198.47,3263.53,3263.53,3263.53,3263.53,3263.53,3263.53,3263.53,3263.53,3263.53,3263.53,3263.53,3263.53
67,7.86,55.02,102.18,149.34,196.51,243.67,290.83,337.99,385.15,432.31,479.47,526.64,573.80,620.96,699.56,778.16,856.77,935.37,1013.97,1092.57,1171.17,1253.70,1340.14,1431.81,1530.01,1634.75,1746.66,1865.92,1985.19,2104.46,2223.83,2343.17,2462.45,2581.81,2701.09,2820.42,2939.78,3059.14,3178.50,3297.84,3405.37,3477.58,3549.75,3621.95,3621.95,3621.95,3621.95,3621.95,3621.95,3621.95,3621.95,3621.95,3621.95,3621.95,3621.95
68,8.68,60.75,112.82,164.90,216.97,269.04,321.12,373.19,425.26,477.33,529.41,581.48,633.55,685.62,772.41,859.20,945.99,1032.78,1119.56,1206.35,1293.14,1384.26,1479.70,1580.92,1689.35,1805.00,1928.57,2060.25,2191.94,2323.62,2455.42,2587.20,2718.90,2850.69,2982.40,3114.16,3245.95,3377.74,3509.53,3641.30,3760.03,3839.76,3919.45,3999.17,3999.17,3999.17,3999.17,3999.17,3999.17,3999.17,3999.17,3999.17,3999.17,3999.17,3999.17
69,9.54,66.77,124.01,181.24,238.47,295.71,352.94,410.17,467.41,524.64,581.87,639.11,696.34,753.57,848.96,944.35,1039.74,1135.13,1230.52,1325.90,1421.29,1521.44,1626.34,1737.59,1856.77,1983.87,2119.69,2264.41,2409.16,2553.89,2698.75,2843.58,2988.33,3133.18,3277.95,3422.76,3567.60,3712.46,3857.31,4002.14,4132.63,4220.26,4307.84,4395.46,4395.46,4395.46,4395.46,4395.46,4395.46,4395.46,4395.46,4395.46,4395.46,4395.46,4395.46
